User ID,Access Time,Action Type,Data Sensitivity,Location
1038,2024-01-01 00:00:00,Access,Medium,Asia
1028,2024-01-01 01:00:00,Access,High,USA
1014,2024-01-01 02:00:00,Access,High,USA
1042,2024-01-01 03:00:00,Access,Medium,Europe
1007,2024-01-01 04:00:00,Access,Low,Europe
1020,2024-01-01 05:00:00,Access,Medium,Asia
1038,2024-01-01 06:00:00,Access,High,Asia
1018,2024-01-01 07:00:00,Access,Low,USA
1022,2024-01-01 08:00:00,Access,Medium,Europe
1010,2024-01-01 09:00:00,Access,Medium,Europe
1010,2024-01-01 10:00:00,Access,Medium,Europe
1023,2024-01-01 11:00:00,Access,Low,Asia
1035,2024-01-01 12:00:00,Access,High,Europe
1039,2024-01-01 13:00:00,Breach,Medium,USA
1023,2024-01-01 14:00:00,Access,Medium,USA
1002,2024-01-01 15:00:00,Access,Medium,Asia
1021,2024-01-01 16:00:00,Access,Medium,Asia
1001,2024-01-01 17:00:00,Access,Medium,Europe
1023,2024-01-01 18:00:00,Breach,High,Asia
1043,2024-01-01 19:00:00,Access,High,USA
1029,2024-01-01 20:00:00,Access,Medium,Europe
1037,2024-01-01 21:00:00,Access,Low,USA
1001,2024-01-01 22:00:00,Access,High,Europe
1020,2024-01-01 23:00:00,Access,Low,Asia
1032,2024-01-02 00:00:00,Access,High,Europe
1011,2024-01-02 01:00:00,Access,Medium,Europe
1021,2024-01-02 02:00:00,Access,High,USA
1043,2024-01-02 03:00:00,Breach,Medium,USA
1024,2024-01-02 04:00:00,Access,High,Europe
1048,2024-01-02 05:00:00,Access,Medium,Asia
1026,2024-01-02 06:00:00,Access,Medium,Asia
1041,2024-01-02 07:00:00,Access,Medium,USA
1027,2024-01-02 08:00:00,Access,Medium,Asia
1015,2024-01-02 09:00:00,Access,Low,USA
1014,2024-01-02 10:00:00,Access,Medium,Asia
1046,2024-01-02 11:00:00,Access,Low,Europe
1043,2024-01-02 12:00:00,Access,Low,USA
1002,2024-01-02 13:00:00,Access,Medium,USA
1036,2024-01-02 14:00:00,Access,Low,Europe
1006,2024-01-02 15:00:00,Access,High,USA
1020,2024-01-02 16:00:00,Access,Medium,Asia
1008,2024-01-02 17:00:00,Access,Low,Asia
1038,2024-01-02 18:00:00,Access,Medium,USA
1017,2024-01-02 19:00:00,Access,Medium,Asia
1003,2024-01-02 20:00:00,Access,Medium,USA
1024,2024-01-02 21:00:00,Access,Low,Europe
1013,2024-01-02 22:00:00,Access,High,USA
1049,2024-01-02 23:00:00,Access,High,Europe
1008,2024-01-03 00:00:00,Access,Low,Asia
